tp,Lp,beta,Mni,model
22.0,42.4070443909,0.801530126029,0.0810083562809,SN1993J
8.2,42.6194079528,0.000155864555622,0.0476623819184,SN1994I
21.7,41.8677414999,1.17124634421,0.0304974537935,SN1996cb
16.6,43.1635800556,0.500229207283,0.300244833185,SN1998bw
13.1,42.4725686952,0.63840440212,0.061638884585,SN2002ap
15.0,42.8508917568,0.286927648475,0.116990446066,SN2003jd
15.6,42.7081975765,1.02514440194,0.150908429572,SN2004aw
12.3,42.3553589192,0.590244801039,0.0438253902551,SN2004gq
18.8,43.0854602814,0.830631256051,0.353001782003,SN2005hg
15.5,42.626099313,0.48610407608,0.0823407847839,SN2006T
21.4,42.2709464064,0.69701223158,0.051910003289,SN2006el
15.0,42.5467628272,0.286841094726,0.0579679615834,SN2006ep
9.8,42.3778957939,0.768828443393,0.0471974660183,SN2007gr
11.1,42.9045858001,0.0864112990879,0.102660883033,SN2007ru
16.1,42.8047075261,0.638340299788,0.143411502427,SN2007uy
19.9,42.0812857295,0.81580370586,0.0359545732234,SN2008D
21.8,42.311875492,0.729204366009,0.0600835883939,SN2008ax
11.0,42.7752405842,1.23325635039,0.158377762655,SN2009bb
22.3,42.6840881094,0.874954358821,0.163992055379,SN2009jf
34.6,42.8612499141,1.71087429323,0.573523370338,SN2011bm
20.1,42.4891402822,0.813041306104,0.0934822986708,SN2011dh
16.7,42.3129531618,0.427604838147,0.0397941919135,iPTF13bvn
22.6,42.3724852115,0.605358442033,0.0632675428447,SN2013df
16.8,42.387403834,0.78709748079,0.0626717593208,SN2013ge
16.4,42.8413954315,0.53542107865,0.146505733686,SN2014ad
17.6,42.8429324212,0.667569781041,0.170316481544,SN2016coi
16.5,42.2898432473,0.908286794273,0.0551706628823,SN2016gkg
25.3,41.9612786791,1.00427325723,0.0387,Dessart
23.75,41.9571281977,1.10405109661,0.0393,Dessart
22.96,42.1504494095,1.0592548271,0.0578,Dessart
22.28,42.1702617154,1.11465631697,0.0615,Dessart
19.34,42.2595938789,1.1687224187,0.0702,Dessart
28.26,41.9736819185,1.03368118102,0.0445,Dessart
26.65,41.9724805499,1.11538250191,0.045,Dessart
26.31,42.2169572074,1.04440920321,0.0742,Dessart
24.87,42.2203696325,1.13856257365,0.0766,Dessart
22.09,42.3556430502,1.2269108666,0.101,Dessart
17.67,42.4424797691,1.24875713573,0.105,Dessart
31.83,41.8821259198,1.03234701839,0.0396,Dessart
27.16,42.1199154103,1.06875382623,0.062,Dessart
26.78,42.1544239731,1.10357394614,0.0681,Dessart
22.92,42.3027637085,1.15227757763,0.0876,Dessart
22.85,42.3218054839,1.10776348131,0.0885,Dessart
19.41,42.4324882558,1.22910103994,0.109,Dessart
35.84,42.2013971243,1.01288420754,0.0894,Dessart
30.88,42.231214648,1.15768513841,0.0946,Dessart
31.43,42.5526682161,1.07060488603,0.189,Dessart
29.19,42.5390760988,1.19104912014,0.188,Dessart
42.12,42.1746411927,1.06487496874,0.099,Dessart
35.39,42.2103185198,1.18324720916,0.102,Dessart
39.78,42.5948343556,1.03477893829,0.244,Dessart
35.62,42.5861370252,1.17348211778,0.242,Dessart
30.41,42.7210683018,1.15912795131,0.289,Dessart
29.05,42.717004407,1.2224489711,0.288,Dessart
16.1,42.16,1.37735307269,0.055,Ertl
17.4,42.0,1.31587431955,0.039,Ertl
17.6,42.0,1.34403628761,0.04,Ertl
18.7,41.93,1.35820872212,0.036,Ertl
17.0,42.2,1.40849023162,0.064,Ertl
16.8,42.24,1.4207199484,0.07,Ertl
18.2,42.14,1.44443797642,0.06,Ertl
18.1,42.16,1.42832766089,0.062,Ertl
18.7,42.13,1.41686822423,0.059,Ertl
18.7,42.2,1.43439812587,0.07,Ertl
18.5,42.3,1.4266634816,0.087,Ertl
18.8,42.29,1.40348925389,0.085,Ertl
17.6,42.38,1.39880155469,0.099,Ertl
17.8,42.41,1.4315637355,0.109,Ertl
17.6,42.4,1.47331831064,0.108,Ertl
18.0,42.4,1.45741962774,0.109,Ertl
18.3,42.41,1.44099627965,0.112,Ertl
19.2,42.37,1.42186685519,0.105,Ertl
19.5,42.32,1.42664870596,0.095,Ertl
19.1,42.43,1.52557260514,0.127,Ertl
19.6,42.38,1.53291566906,0.116,Ertl
20.0,42.31,1.45051158636,0.096,Ertl
20.4,42.31,1.4591770274,0.098,Ertl
19.9,42.36,1.61646934637,0.117,Ertl
22.3,42.21,1.46805353551,0.084,Ertl
20.5,42.37,1.60656689296,0.122,Ertl
21.0,42.36,1.56464246588,0.119,Ertl
21.3,42.33,1.57650938871,0.113,Ertl
21.8,42.31,1.59591983478,0.111,Ertl
22.0,42.32,1.60627768963,0.115,Ertl
25.7,42.11,1.50164363242,0.076,Ertl
23.5,42.31,1.53114908747,0.114,Ertl
23.6,42.31,1.52466116761,0.114,Ertl
23.0,42.37,1.64240119881,0.136,Ertl
27.0,42.22,1.52585819875,0.103,Ertl
24.4,42.32,1.51233673217,0.119,Ertl
24.7,42.3,1.53349441148,0.116,Ertl
25.1,42.31,1.53016356261,0.12,Ertl
25.0,42.31,1.56917145351,0.122,Ertl
25.5,42.3,1.55130169512,0.12,Ertl
17.5,42.7465244771,1.48287017148,0.24,Barnes
17.5,42.7758575056,1.3609005017,0.24,Barnes
17.5,42.707056333,1.66194809497,0.24,Barnes
17.5,42.7673419158,1.39542950102,0.24,Barnes
