name,Lp,f,Lp|f|
SN1993J,42.4070443909,0.234337920018,41.7768869618
SN1994I,42.6194079528,0.477468271166,42.2983524699
SN1996cb,41.8677414999,-0.00868982098892,
SN1998bw,43.1635800556,0.38451193594,42.7484898812
SN2002ap,42.4725686952,0.270415459704,41.9046002119
SN2003jd,42.8508917568,0.470663136138,42.5236019411
SN2004aw,42.7081975765,0.0772120043052,41.5958824028
SN2004gq,42.3553589192,0.292892583991,41.8220672947
SN2005hg,43.0854602814,0.210015027449,42.4077106529
SN2006T,42.626099313,0.388965669841,42.2160105851
SN2006el,42.2709464064,0.314074938008,41.7679796891
SN2006ep,42.5467628272,0.471677992666,42.2204084408
SN2007gr,42.3778957939,0.175246280627,41.6215446033
SN2007ru,42.9045858001,0.502482570828,42.6057068025
SN2007uy,42.8047075261,0.313333001309,42.3007136648
SN2008D,42.0812857295,0.222088493201,41.427811787
SN2008ax,42.311875492,0.287887148105,41.7710977694
SN2009bb,42.7752405842,-0.0392734871494,
SN2009jf,42.6840881094,0.18968355053,41.9621177796
SN2011bm,42.8612499141,-0.329159213162,
SN2011dh,42.4891402822,0.21529482677,41.8221738767
iPTF13bvn,42.3129531618,0.424159927027,41.9404827975
SN2013df,42.3724852115,0.36607844263,41.9360593667
SN2013ge,42.387403834,0.23928609645,41.766321299
SN2014ad,42.8413954315,0.363818262013,42.4022799264
SN2016coi,42.8429324212,0.300058450995,42.3201382842
SN2016gkg,42.2898432473,0.150653994556,41.4678238987
